Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-01-04,147500.0,148000.0,143500.0,144000.0,102446.2578125,445332,2026-02-21 06:47:26.527494+00:00
2016-01-05,143000.0,145000.0,142000.0,143500.0,102090.546875,530496,2026-02-21 06:47:26.527494+00:00
2016-01-06,144000.0,145000.0,139000.0,140000.0,99600.5234375,769406,2026-02-21 06:47:26.527494+00:00
2016-01-07,138500.0,140000.0,137500.0,137500.0,97821.921875,586187,2026-02-21 06:47:26.527494+00:00
2016-01-08,134500.0,138000.0,133500.0,136500.0,97110.5,888701,2026-02-21 06:47:26.527494+00:00
2016-01-11,134500.0,140500.0,134000.0,140000.0,99600.5234375,542749,2026-02-21 06:47:26.527494+00:00
2016-01-12,140500.0,141500.0,139000.0,139500.0,99244.8203125,386506,2026-02-21 06:47:26.527494+00:00
2016-01-13,140500.0,141500.0,139500.0,140500.0,99956.234375,338336,2026-02-21 06:47:26.527494+00:00
2016-01-14,138500.0,143500.0,136500.0,141000.0,100311.953125,664829,2026-02-21 06:47:26.527494+00:00
2016-01-15,141000.0,142000.0,136500.0,138500.0,98533.3515625,568653,2026-02-21 06:47:26.527494+00:00
2016-01-18,137500.0,140000.0,135500.0,139000.0,98889.1015625,400716,2026-02-21 06:47:26.527494+00:00
2016-01-19,138000.0,140000.0,136000.0,140000.0,99600.5234375,332956,2026-02-21 06:47:26.527494+00:00
2016-01-20,139500.0,140000.0,135500.0,136500.0,97110.5,544330,2026-02-21 06:47:26.527494+00:00
2016-01-21,136000.0,138000.0,135500.0,137000.0,97466.234375,455723,2026-02-21 06:47:26.527494+00:00
2016-01-22,138000.0,140500.0,136500.0,139000.0,98889.1015625,551671,2026-02-21 06:47:26.527494+00:00
2016-01-25,140000.0,140500.0,136000.0,137500.0,97821.921875,543064,2026-02-21 06:47:26.527494+00:00
2016-01-26,136500.0,137000.0,134500.0,136000.0,96754.796875,564584,2026-02-21 06:47:26.527494+00:00
2016-01-27,135500.0,137000.0,134500.0,137000.0,97466.234375,702981,2026-02-21 06:47:26.527494+00:00
2016-01-28,135500.0,136500.0,134500.0,135000.0,96043.359375,480730,2026-02-21 06:47:26.527494+00:00
2016-01-29,135000.0,136000.0,131000.0,133000.0,94620.484375,990382,2026-02-21 06:47:26.527494+00:00
2016-02-01,132000.0,132500.0,130500.0,132500.0,94264.7890625,689972,2026-02-21 06:47:26.527494+00:00
2016-02-02,131500.0,132500.0,129000.0,129500.0,92130.484375,594441,2026-02-21 06:47:26.527494+00:00
2016-02-03,127500.0,129500.0,126500.0,129000.0,91774.7734375,649021,2026-02-21 06:47:26.527494+00:00
2016-02-04,130000.0,132500.0,129500.0,132500.0,94264.7890625,600523,2026-02-21 06:47:26.527494+00:00
2016-02-05,132000.0,133500.0,131000.0,133500.0,94976.21875,513150,2026-02-21 06:47:26.527494+00:00
2016-02-11,130500.0,132500.0,130500.0,131000.0,93197.6328125,688873,2026-02-21 06:47:26.527494+00:00
2016-02-12,131500.0,137500.0,131000.0,137000.0,97466.234375,1264899,2026-02-21 06:47:26.527494+00:00
2016-02-15,137500.0,141500.0,135000.0,139500.0,99244.8203125,879160,2026-02-21 06:47:26.527494+00:00
2016-02-16,139500.0,142500.0,137500.0,141000.0,100311.953125,524822,2026-02-21 06:47:26.527494+00:00
2016-02-17,142000.0,147500.0,141000.0,147000.0,104580.53125,772996,2026-02-21 06:47:26.527494+00:00
2016-02-18,147500.0,149000.0,145500.0,147000.0,104580.53125,468798,2026-02-21 06:47:26.527494+00:00
2016-02-19,147000.0,151000.0,147000.0,149000.0,106003.421875,477553,2026-02-21 06:47:26.527494+00:00
2016-02-22,147500.0,148500.0,146000.0,147500.0,104936.296875,273335,2026-02-21 06:47:26.527494+00:00
2016-02-23,148000.0,149000.0,146500.0,149000.0,106003.421875,250401,2026-02-21 06:47:26.527494+00:00
2016-02-24,147500.0,150000.0,146500.0,149000.0,106003.421875,191286,2026-02-21 06:47:26.527494+00:00
2016-02-25,149500.0,153000.0,145500.0,147000.0,104580.53125,490265,2026-02-21 06:47:26.527494+00:00
2016-02-26,148000.0,148000.0,144500.0,147000.0,104580.53125,351408,2026-02-21 06:47:26.527494+00:00
2016-02-29,145500.0,149000.0,144500.0,147500.0,104936.296875,570117,2026-02-21 06:47:26.527494+00:00
2016-03-02,150000.0,150000.0,148000.0,150000.0,106714.8359375,539821,2026-02-21 06:47:26.527494+00:00
2016-03-03,151500.0,151500.0,146000.0,147500.0,104936.296875,627810,2026-02-21 06:47:26.527494+00:00
2016-03-04,146000.0,147500.0,143500.0,147500.0,104936.296875,696287,2026-02-21 06:47:26.527494+00:00
2016-03-07,147500.0,147500.0,145500.0,146500.0,104224.8359375,317439,2026-02-21 06:47:26.527494+00:00
